id,title,description,price,quantity,file,category
46,CRISPY,"Adoptez un style croquant et croustillant. Crispy est une paire de lunettes marron écaille aux formes généreuses. Un grand bol de tendance combiné avec la finesse du métal doré. Ravagez tout sur votre passage en la personnalisant en solaire avec des verres noirs à 85%!",19,45,1489193281.png,Tendance
47,FUNAMBULE,"Si vos économies ne tiennent qu’à un fil, polette vient à la rescousse! Funambule est une monture aviator alliant plastique flexible et métal doré. On approuve les extrémités argentées des branches qui viennent rehausser l’élégance du noir!   Osez la personnaliser en solaire avec des verres noir 85%!",29,123,1489193347.png,Tendance
48,"SAVANA BLACK","On a tous une fashion obsession et elle se nomme Savana Black. Une monture en plastique flexible aux formes XXL. Le meilleur allié pour un look tendance!   Une paire de lunettes parée d'un pont clé!",19,768,1489193428.png,Tendance
49,SAVANA,"Un poil provocante et ultra jouissive, Savana est une monture incontournable. Une paire de lunettes XL parée d’un pont clé et de subjuguantes rondeurs. Une véritable tigresse!   Féline et entièrement en plastique flexible!",18,321,1489194677.png,Tendance
50,"BARBAROSSA BI","On s’octroie l’assurance d’une apparence élégante avec Barbarossa Bi. Une paire de lunettes demi-cerclée mariant le couple rétro, noir et blanc, pour un résultat des plus charmants. Captivante.   Une monture aux formes pulpeuses!",17,112,1489194886.png,Tendance
51,SOUVENIR,"Après une incroyable aventure, un voyageur prend le temps de se poser à l’arrière de son navire, afin de contempler l’écume délaissée. Souvenir est une paire de lunettes ovale et vintage. Une délicieuse couleur miel, accompagnée d’un pont clé renfermant tous ses secrets.   On aime ses tenons dorés, mimant avec classe les boutons de manchettes.",32,342,1489195290.png,Classique
52,SHANGHAI,"Si Shanghai s’élève comme la ville moderne de cette décennie, elle recèle de petits quartiers vintages. Mixant noir de café et marron caramel, cette paire de lunettes épouse le regard à l’aide de ses formes ovales et généreuses. Une monture parée de tenons plus étincelants que la Perle de l’Orient!",35,532,1489224760.png,Classique
53,MONACO,"La petite principauté méditerranéenne s’est vue donner naissance au nouveau prince de la mode. Monaco, de noir vêtu, se distingue de par ses formes rectangulaires et gracieuses. Une paire de lunettes en acétate poli à la main. Noble!",32,123,1489224812.png,Classique
54,SWAN,"Swan Black est en plus d’être une danseuse étoile, une paire de lunettes de qualité. Une monture aux formes ovales et gracieuses. On aime ses tenons argentés qui rehaussent sa tenue noir d’aniline. Sensuelle!",32,168,1489224864.png,Classique
55,DAUPHINE,"Dans l’atelier polette a été confectionnée avec rigueur et délicatesse, Dauphine Black. Une monture de qualité aux courbes gracieuses. Une paire de lunettes s’étant accaparée le noir de jais avec élégance.",35,347,1489225050.png,Classique
56,TAROT,"Vous avez tiré la bonne carte! Tarot est une paire de lunettes marron écaille, intégralement en plastique flexible. Une monture rectangulaire aux formes généreuses et parée d’un pont clé. Fusionnelle!",23,567,1489225095.png,Classique
67,"KRUGER BLACK","Misez sur la simplicité! Kruger Black est une paire de lunettes aux formes ovales et discrètes. Bordée de noir, on aime ses courbes faites d’acétate. Une monture prête à adopter nos verres anti-reflets et anti-rayures!",29,447,1489226242.png,Classique
57,ALPES,"Que l’on soit fondue ou plutôt raclette, Alpes met tout le monde d’accord. Une monture aux formes rondes et pulpeuses, dont les nuances marron nous rappellent la couleur des chalets. Une paire de lunettes faite d’acétate et parée d’un pont clé! Sublime!",33,122,1489225400.png,Vintage
58,PHANTOMS,"Phantoms renferme l’âme d’un illustre vigneron. Profondément rouge bordeaux, cette paire de lunettes s’est procurée une forme papillon des plus design. Un précieux millésime tout en acétate poli à la main. À consommer sans modération!",32,134,1489225486.png,Vintage
59,"CALIFORNIA VIEW","Dans la vallée de Coachella, California View Bronze s’inspire de la couleur de ces terres arides. Une monture aux formes ovales et minimalistes. Munie de branches aux détails en reliefs, on craque pour son charmant pont droit. Une paire de lunettes dont on a hâte d'ouvrir le coffret. Chic!",49,168,1489225535.png,Vintage
60,FLORIJN,"Savourez tout le confort d’une monture en acétate poli à la main, avec Florijn. Un design ultra contemporain condensé dans une paire de lunettes aux détails incrustés. D’inspiration Hollandaise, on craque pour son profil en forme d’écrou et sa couleur miel. Unique!",44,194,1489225584.png,Vintage
61,SCOTT,"Vous en rêviez: Polette l'a fait! La superbe Scott est désormais déclinée en noir pour un effet ultra stylisé. Il suffit d'observer les minutieuses finitions pour comprendre la qualité de cette monture. En acétate, polie à la main, la Scott a la classe et ça se voit. Si vous n'êtes pas encore tombé(e) sous le charme, c'est que vous n'avez pas osé la regarder droit dans les yeux: une tombeuse la Scott.. on vous aura prévenus!",33,125,1489225831.jpg,Vintage
62,GASPARD,"Gaspard est une petite paire de lunettes à la délicieuse couleur marron chocolat. Un intérieur aux nuances savoureuses, se cachant derrière un subtil effet bois. Surprenante!",35,177,1489225887.png,Vintage
63,FRANC-BOURGEOIS,"Tout droit venue de la capitale, la sphère fashion aime et admire Franc-bourgeois. Un modèle aux formes gracieuses tout en acétate poli à la main. De sa couleur miel jusqu’aux plus intimes de ses détails, l’élégance de cette paire de lunettes est irréfutable!",29,345,1489226006.jpg,Vintage
64,LITTÉRATURE,"S’apprêter de Littérature c’est comme plonger dans un grand livre d’aventures. Une paire de lunettes exaltante aux formes papillonnantes. Pleine de charme et entièrement en acétate poli à la main!",34,322,1489226032.jpg,Vintage
65,DIVERGENT,"Fabriquée main, Divergent est une paire de lunettes tendance. Dotée d'une qualité incroyable, cette monture en acétate embrasse une couleur entre le chocolat et l'ambre. Optez pour un regard accrocheur avec ce modèle chic aux formes rectangulaires et gracieuses.",34,225,1489226085.png,Vintage
66,KARLA,"Une monture aux courbes divines ! La Karla se pare de branches dorées et de nuances chatoyantes pour éclairer votre regard et rehausser votre style d'une note rétro.",34,274,1489226160.jpg,Vintage
